ria_id,titulo,tipo_publicacao,departamento,data_publicacao,ano_publicacao,autores_numero,downloads,citacoes,licenca_acesso
RIA00055,Publicação Científica 0055,Artigo,DLC,2018-09-05,2018,1,4424,242,Open Access
RIA00056,Publicação Científica 0056,Artigo,DGEO,2022-01-10,2022,5,654,173,Open Access
RIA00057,Publicação Científica 0057,Capítulo,DBIO,2018-08-30,2018,2,11100,189,Embargado
RIA00058,Publicação Científica 0058,Capítulo,DGEO,2024-09-20,2024,9,9797,224,Restrito
RIA00059,Publicação Científica 0059,Tese,DEGEIT,2025-06-02,2025,8,641,149,Open Access
RIA00060,Publicação Científica 0060,Artigo,DEGEIT,2018-05-18,2018,1,660,351,Open Access
RIA00061,Publicação Científica 0061,Dissertação,DMAT,2025-10-08,2025,6,4497,205,Embargado
RIA00062,Publicação Científica 0062,Tese,DQ,2022-06-03,2022,3,2766,119,Open Access
RIA00063,Publicação Científica 0063,Artigo,DETI,2020-04-14,2020,9,1949,261,Restrito
RIA00064,Publicação Científica 0064,Artigo,DBIO,2019-12-07,2019,5,1072,44,Embargado
RIA00065,Publicação Científica 0065,Artigo,DBIO,2019-10-17,2019,5,6680,238,Restrito
RIA00066,Publicação Científica 0066,Dissertação,DEGEIT,2022-06-10,2022,2,1742,400,Embargado
RIA00067,Publicação Científica 0067,Capítulo,DETI,2020-08-22,2020,1,4005,89,Embargado
RIA00068,Publicação Científica 0068,Tese,DF,2019-03-16,2019,6,9878,37,Embargado
RIA00069,Publicação Científica 0069,Artigo,DGEO,2022-10-05,2022,4,1741,103,Restrito
RIA00070,Publicação Científica 0070,Relatório,DGEO,2021-01-02,2021,1,855,340,Embargado
RIA00071,Publicação Científica 0071,Artigo,DMAT,2023-08-03,2023,9,11590,91,Open Access
RIA00072,Publicação Científica 0072,Artigo,DEP,2022-03-26,2022,8,100,223,Embargado
RIA00073,Publicação Científica 0073,Dissertação,DBIO,2022-02-09,2022,2,3527,136,Embargado
RIA00074,Publicação Científica 0074,Artigo,DEP,2025-09-04,2025,8,3063,431,Open Access
RIA00075,Publicação Científica 0075,Artigo,DF,2022-04-16,2022,3,2816,450,Embargado
RIA00076,Publicação Científica 0076,Artigo,DEP,2019-07-18,2019,9,8198,259,Restrito
RIA00077,Publicação Científica 0077,Tese,DEP,2025-10-26,2025,3,8448,278,Embargado
RIA00078,Publicação Científica 0078,Tese,DLC,2018-05-02,2018,8,7559,411,Restrito
RIA00079,Publicação Científica 0079,Dissertação,DETI,2018-11-28,2018,7,2502,234,Open Access
RIA00080,Publicação Científica 0080,Artigo,DBIO,2022-01-14,2022,6,9193,42,Restrito
RIA00081,Publicação Científica 0081,Artigo,DQ,2023-01-02,2023,2,2775,260,Open Access
RIA00082,Publicação Científica 0082,Tese,DETI,2019-04-25,2019,6,145,289,Embargado
RIA00083,Publicação Científica 0083,Tese,DCM,2022-05-19,2022,5,8010,286,Restrito
RIA00084,Publicação Científica 0084,Dissertação,DBIO,2021-03-13,2021,3,1840,85,Embargado
RIA00085,Publicação Científica 0085,Artigo,DQ,2020-11-15,2020,5,146,348,Open Access
RIA00086,Publicação Científica 0086,Dissertação,DQ,2023-05-22,2023,4,5976,57,Embargado
RIA00087,Publicação Científica 0087,Dissertação,DBIO,2021-07-26,2021,7,6237,202,Restrito
RIA00088,Publicação Científica 0088,Relatório,DF,2025-06-12,2025,5,5664,81,Open Access
RIA00089,Publicação Científica 0089,Artigo,DEP,2020-07-16,2020,2,3507,317,Restrito
RIA00090,Publicação Científica 0090,Tese,DEP,2023-12-04,2023,5,940,165,Embargado
RIA00091,Publicação Científica 0091,Artigo,DF,2018-12-16,2018,2,5368,428,Open Access
RIA00092,Publicação Científica 0092,Dissertação,DBIO,2024-03-08,2024,3,4425,269,Open Access
RIA00093,Publicação Científica 0093,Tese,DGEO,2026-02-24,2026,6,268,331,Embargado
RIA00094,Publicação Científica 0094,Relatório,DCM,2018-07-04,2018,4,7622,331,Open Access
RIA00095,Publicação Científica 0095,Relatório,DMAT,2019-10-04,2019,3,159,48,Restrito
RIA00096,Publicação Científica 0096,Capítulo,DMAT,2018-08-18,2018,3,928,400,Open Access
RIA00097,Publicação Científica 0097,Relatório,DEP,2021-07-21,2021,3,6858,345,Embargado
RIA00098,Publicação Científica 0098,Artigo,DLC,2019-02-25,2019,1,5948,130,Restrito
RIA00099,Publicação Científica 0099,Dissertação,DGEO,2023-10-09,2023,3,1486,105,Embargado
RIA00100,Publicação Científica 0100,Artigo,DQ,2024-07-26,2024,5,7173,233,Open Access
RIA00101,Publicação Científica 0101,Artigo,DEGEIT,2018-11-17,2018,9,3000,75,Restrito
RIA00102,Publicação Científica 0102,Artigo,DLC,2023-08-18,2023,8,3478,403,Open Access
RIA00103,Publicação Científica 0103,Artigo,DBIO,2023-02-25,2023,7,8546,82,Restrito
RIA00104,Publicação Científica 0104,Artigo,DGEO,2022-12-18,2022,5,6625,341,Open Access
RIA00105,Publicação Científica 0105,Tese,DQ,2019-04-11,2019,3,3243,83,Restrito
RIA00106,Publicação Científica 0106,Artigo,DLC,2020-06-27,2020,7,9302,170,Embargado
RIA00107,Publicação Científica 0107,Dissertação,DQ,2025-03-14,2025,6,9030,85,Restrito
RIA00108,Publicação Científica 0108,Artigo,DBIO,2023-04-28,2023,4,3360,52,Restrito
RIA00109,Publicação Científica 0109,Artigo,DETI,2020-06-01,2020,1,7385,308,Embargado
RIA00110,Publicação Científica 0110,Tese,DCM,2024-04-15,2024,1,6827,288,Open Access
RIA00111,Publicação Científica 0111,Tese,DF,2025-09-18,2025,9,11497,132,Restrito
RIA00112,Publicação Científica 0112,Artigo,DGEO,2022-08-15,2022,9,341,72,Open Access
RIA00113,Publicação Científica 0113,Relatório,DBIO,2018-09-26,2018,9,738,333,Open Access
RIA00114,Publicação Científica 0114,Artigo,DEGEIT,2024-04-15,2024,9,7544,328,Open Access
RIA00115,Publicação Científica 0115,Relatório,DGEO,2023-12-26,2023,5,2129,377,Embargado
RIA00116,Publicação Científica 0116,Artigo,DQ,2018-03-14,2018,3,550,157,Embargado
RIA00117,Publicação Científica 0117,Artigo,DEP,2019-03-17,2019,5,8200,318,Open Access
RIA00118,Publicação Científica 0118,Tese,DEP,2021-04-23,2021,4,7118,199,Open Access
RIA00119,Publicação Científica 0119,Artigo,DLC,2024-07-05,2024,7,8214,246,Restrito
RIA00120,Publicação Científica 0120,Tese,DETI,2020-11-28,2020,2,8271,337,Restrito
RIA00121,Publicação Científica 0121,Artigo,DGEO,2021-04-04,2021,2,1445,326,Open Access
RIA00122,Publicação Científica 0122,Artigo,DQ,2024-06-16,2024,9,11208,411,Restrito
RIA00123,Publicação Científica 0123,Artigo,DQ,2021-08-23,2021,4,7794,383,Embargado
RIA00124,Publicação Científica 0124,Dissertação,DEP,2019-05-21,2019,6,5305,74,Restrito
RIA00125,Publicação Científica 0125,Artigo,DEGEIT,2018-12-14,2018,4,1102,381,Open Access
RIA00126,Publicação Científica 0126,Dissertação,DEP,2019-03-28,2019,6,9135,81,Embargado
RIA00127,Publicação Científica 0127,Capítulo,DEP,2021-02-02,2021,1,930,77,Open Access
RIA00128,Publicação Científica 0128,Tese,DMAT,2019-03-07,2019,5,103,271,Embargado
RIA00129,Publicação Científica 0129,Relatório,DGEO,2019-10-09,2019,8,7209,191,Restrito
RIA00130,Publicação Científica 0130,Artigo,DCM,2019-04-23,2019,5,10813,253,Embargado
RIA00131,Publicação Científica 0131,Artigo,DMAT,2022-09-19,2022,4,928,402,Restrito
RIA00132,Publicação Científica 0132,Tese,DGEO,2019-06-30,2019,8,3820,26,Embargado
RIA00133,Publicação Científica 0133,Relatório,DCM,2021-03-19,2021,2,9107,385,Restrito
RIA00134,Publicação Científica 0134,Artigo,DETI,2021-09-29,2021,6,3514,159,Open Access
RIA00135,Publicação Científica 0135,Artigo,DGEO,2020-11-09,2020,4,7685,435,Embargado
RIA00136,Publicação Científica 0136,Artigo,DETI,2022-01-11,2022,2,5170,97,Embargado
RIA00137,Publicação Científica 0137,Artigo,DLC,2018-06-03,2018,6,1496,147,Open Access
RIA00138,Publicação Científica 0138,Artigo,DQ,2023-10-29,2023,6,4726,43,Restrito
RIA00139,Publicação Científica 0139,Artigo,DGEO,2024-01-13,2024,2,2765,353,Open Access
RIA00140,Publicação Científica 0140,Capítulo,DEGEIT,2022-02-15,2022,4,5032,265,Open Access
RIA00141,Publicação Científica 0141,Capítulo,DEGEIT,2025-02-23,2025,4,3197,413,Embargado
RIA00142,Publicação Científica 0142,Artigo,DETI,2022-10-10,2022,5,10550,149,Open Access
RIA00143,Publicação Científica 0143,Artigo,DEP,2021-08-07,2021,7,11530,236,Open Access
RIA00144,Publicação Científica 0144,Capítulo,DMAT,2022-10-05,2022,6,2328,62,Restrito
RIA00145,Publicação Científica 0145,Artigo,DBIO,2025-11-13,2025,2,477,68,Restrito
RIA00146,Publicação Científica 0146,Artigo,DMAT,2024-02-17,2024,1,4956,205,Open Access
RIA00147,Publicação Científica 0147,Artigo,DMAT,2020-12-15,2020,9,1217,388,Restrito
RIA00148,Publicação Científica 0148,Artigo,DEP,2022-09-28,2022,3,11684,283,Open Access
RIA00149,Publicação Científica 0149,Artigo,DMAT,2018-09-17,2018,3,3648,281,Embargado
RIA00150,Publicação Científica 0150,Dissertação,DETI,2021-03-04,2021,4,8043,265,Restrito
RIA00151,Publicação Científica 0151,Artigo,DEGEIT,2021-01-13,2021,5,3504,71,Restrito
RIA00152,Publicação Científica 0152,Artigo,DMAT,2018-01-25,2018,6,6755,63,Restrito
RIA00153,Publicação Científica 0153,Artigo,DETI,2019-07-27,2019,2,5389,37,Embargado
RIA00154,Publicação Científica 0154,Artigo,DCM,2025-09-06,2025,7,339,68,Open Access
RIA00155,Publicação Científica 0155,Dissertação,DLC,2020-05-07,2020,1,11998,71,Embargado
RIA00156,Publicação Científica 0156,Dissertação,DLC,2021-10-27,2021,4,8823,189,Open Access
RIA00157,Publicação Científica 0157,Capítulo,DEGEIT,2021-03-30,2021,9,8317,431,Restrito
RIA00158,Publicação Científica 0158,Artigo,DQ,2023-10-02,2023,3,11192,74,Embargado
RIA00159,Publicação Científica 0159,Artigo,DETI,2019-01-23,2019,4,8178,154,Embargado
RIA00160,Publicação Científica 0160,Artigo,DEGEIT,2024-12-25,2024,5,5368,14,Open Access
RIA00161,Publicação Científica 0161,Artigo,DEP,2021-06-16,2021,4,10915,376,Open Access
RIA00162,Publicação Científica 0162,Dissertação,DEGEIT,2021-04-12,2021,1,10803,165,Open Access
RIA00163,Publicação Científica 0163,Artigo,DBIO,2022-12-25,2022,7,5788,65,Open Access
RIA00164,Publicação Científica 0164,Artigo,DEP,2019-02-17,2019,4,6362,105,Embargado
RIA00165,Publicação Científica 0165,Artigo,DETI,2020-04-24,2020,6,2338,125,Restrito
RIA00166,Publicação Científica 0166,Tese,DGEO,2024-11-27,2024,8,41,44,Restrito
RIA00167,Publicação Científica 0167,Artigo,DLC,2024-09-07,2024,7,7320,414,Embargado
RIA00168,Publicação Científica 0168,Dissertação,DLC,2024-12-31,2024,5,5182,73,Embargado
RIA00169,Publicação Científica 0169,Artigo,DQ,2024-12-13,2024,5,3695,23,Restrito
RIA00170,Publicação Científica 0170,Capítulo,DBIO,2024-08-14,2024,4,1925,118,Embargado
RIA00171,Publicação Científica 0171,Relatório,DEGEIT,2022-05-27,2022,9,9509,188,Open Access
RIA00172,Publicação Científica 0172,Artigo,DF,2021-05-20,2021,4,3642,213,Open Access
RIA00173,Publicação Científica 0173,Tese,DEGEIT,2024-10-04,2024,9,4236,419,Embargado
RIA00174,Publicação Científica 0174,Artigo,DGEO,2025-10-09,2025,6,11146,259,Restrito
RIA00175,Publicação Científica 0175,Artigo,DQ,2022-07-15,2022,3,7673,419,Restrito
RIA00176,Publicação Científica 0176,Relatório,DBIO,2025-05-23,2025,8,8886,186,Restrito
RIA00177,Publicação Científica 0177,Artigo,DEGEIT,2023-10-21,2023,6,6629,285,Open Access
RIA00178,Publicação Científica 0178,Artigo,DGEO,2020-01-12,2020,8,3763,349,Restrito
RIA00179,Publicação Científica 0179,Artigo,DLC,2022-10-30,2022,3,1241,130,Open Access
RIA00180,Publicação Científica 0180,Tese,DETI,2025-12-09,2025,6,5123,438,Open Access
RIA00181,Publicação Científica 0181,Relatório,DEGEIT,2022-12-16,2022,2,10063,415,Open Access
RIA00182,Publicação Científica 0182,Tese,DGEO,2020-02-11,2020,2,6808,377,Restrito
RIA00183,Publicação Científica 0183,Capítulo,DBIO,2020-02-15,2020,1,1442,128,Embargado
RIA00184,Publicação Científica 0184,Relatório,DLC,2025-04-13,2025,6,4534,96,Open Access
RIA00185,Publicação Científica 0185,Relatório,DF,2021-12-20,2021,3,4997,246,Embargado
RIA00186,Publicação Científica 0186,Artigo,DF,2023-08-04,2023,6,758,92,Restrito
RIA00187,Publicação Científica 0187,Capítulo,DF,2023-12-04,2023,6,7562,321,Open Access
RIA00188,Publicação Científica 0188,Artigo,DBIO,2024-03-09,2024,3,768,379,Restrito
RIA00189,Publicação Científica 0189,Artigo,DETI,2023-08-23,2023,9,11668,1,Restrito
RIA00190,Publicação Científica 0190,Artigo,DCM,2021-05-09,2021,9,11987,297,Restrito
RIA00191,Publicação Científica 0191,Artigo,DMAT,2021-06-09,2021,7,1379,122,Embargado
RIA00192,Publicação Científica 0192,Artigo,DGEO,2018-04-20,2018,3,8660,197,Open Access
RIA00193,Publicação Científica 0193,Artigo,DQ,2019-07-11,2019,5,4369,111,Embargado
RIA00194,Publicação Científica 0194,Artigo,DLC,2025-11-14,2025,7,1430,167,Open Access
RIA00195,Publicação Científica 0195,Artigo,DBIO,2021-07-25,2021,6,6239,13,Open Access
RIA00196,Publicação Científica 0196,Tese,DLC,2023-02-24,2023,5,2910,386,Restrito
RIA00197,Publicação Científica 0197,Tese,DMAT,2023-10-29,2023,5,4163,179,Open Access
RIA00198,Publicação Científica 0198,Dissertação,DLC,2020-10-22,2020,5,285,195,Embargado
RIA00199,Publicação Científica 0199,Dissertação,DBIO,2019-10-31,2019,6,8193,124,Restrito
RIA00200,Publicação Científica 0200,Artigo,DEP,2023-05-07,2023,2,11303,8,Embargado
RIA00201,Publicação Científica 0201,Artigo,DMAT,2023-07-27,2023,2,1992,268,Open Access
RIA00202,Publicação Científica 0202,Tese,DEP,2020-06-17,2020,3,7177,185,Restrito
RIA00203,Publicação Científica 0203,Dissertação,DF,2019-07-18,2019,6,4209,365,Open Access
RIA00204,Publicação Científica 0204,Tese,DMAT,2018-05-23,2018,3,1996,296,Open Access
RIA00205,Publicação Científica 0205,Artigo,DLC,2019-04-04,2019,5,2209,350,Open Access
RIA00206,Publicação Científica 0206,Tese,DCM,2024-07-28,2024,5,2214,22,Embargado
RIA00207,Publicação Científica 0207,Relatório,DETI,2022-03-11,2022,4,3852,450,Open Access
RIA00208,Publicação Científica 0208,Artigo,DCM,2025-06-26,2025,7,6984,113,Restrito
RIA00209,Publicação Científica 0209,Tese,DEGEIT,2019-01-19,2019,7,5041,220,Open Access
RIA00210,Publicação Científica 0210,Artigo,DLC,2026-02-04,2026,1,10642,115,Open Access
RIA00211,Publicação Científica 0211,Artigo,DMAT,2023-09-05,2023,4,5485,235,Restrito
RIA00212,Publicação Científica 0212,Artigo,DLC,2021-10-26,2021,1,4515,251,Open Access
RIA00213,Publicação Científica 0213,Artigo,DF,2020-01-07,2020,2,2069,16,Restrito
RIA00214,Publicação Científica 0214,Artigo,DF,2019-03-02,2019,5,2352,98,Restrito
RIA00215,Publicação Científica 0215,Artigo,DF,2023-11-24,2023,6,2380,346,Open Access
RIA00216,Publicação Científica 0216,Artigo,DBIO,2018-09-09,2018,4,4153,187,Open Access
RIA00217,Publicação Científica 0217,Artigo,DCM,2023-08-04,2023,2,4197,200,Open Access
RIA00218,Publicação Científica 0218,Artigo,DMAT,2025-05-25,2025,4,102,427,Embargado
RIA00219,Publicação Científica 0219,Artigo,DQ,2018-06-19,2018,9,268,155,Open Access
RIA00220,Publicação Científica 0220,Artigo,DGEO,2024-01-25,2024,8,4435,175,Restrito
RIA00221,Publicação Científica 0221,Dissertação,DQ,2025-06-11,2025,3,8661,165,Embargado
RIA00222,Publicação Científica 0222,Artigo,DCM,2021-07-31,2021,6,11266,119,Embargado
RIA00223,Publicação Científica 0223,Relatório,DEGEIT,2020-07-15,2020,3,8822,3,Open Access
RIA00224,Publicação Científica 0224,Dissertação,DLC,2025-11-03,2025,9,1636,416,Embargado
RIA00225,Publicação Científica 0225,Tese,DF,2020-03-21,2020,2,5960,181,Open Access
RIA00226,Publicação Científica 0226,Tese,DETI,2018-03-11,2018,2,8692,211,Embargado
RIA00227,Publicação Científica 0227,Artigo,DQ,2022-07-18,2022,3,8673,194,Restrito
RIA00228,Publicação Científica 0228,Artigo,DETI,2025-01-03,2025,5,570,14,Embargado
RIA00229,Publicação Científica 0229,Dissertação,DEGEIT,2022-12-25,2022,2,2073,52,Open Access
RIA00230,Publicação Científica 0230,Artigo,DETI,2019-07-04,2019,2,4142,241,Open Access
RIA00231,Publicação Científica 0231,Artigo,DCM,2021-08-25,2021,4,7058,442,Embargado
RIA00232,Publicação Científica 0232,Dissertação,DF,2023-08-19,2023,7,6326,60,Restrito
RIA00233,Publicação Científica 0233,Relatório,DCM,2019-02-11,2019,5,1091,15,Restrito
RIA00234,Publicação Científica 0234,Relatório,DLC,2025-07-02,2025,7,3322,333,Open Access
RIA00235,Publicação Científica 0235,Tese,DEGEIT,2021-08-28,2021,2,4444,81,Restrito
RIA00236,Publicação Científica 0236,Artigo,DEP,2019-12-16,2019,8,8529,439,Restrito
RIA00237,Publicação Científica 0237,Artigo,DBIO,2021-04-26,2021,1,2625,274,Open Access
RIA00238,Publicação Científica 0238,Tese,DETI,2022-09-10,2022,5,7064,190,Embargado
RIA00239,Publicação Científica 0239,Relatório,DETI,2024-09-05,2024,8,6904,78,Open Access
RIA00240,Publicação Científica 0240,Tese,DGEO,2022-06-14,2022,2,2914,208,Open Access
RIA00241,Publicação Científica 0241,Tese,DF,2023-06-29,2023,3,1194,43,Restrito
RIA00242,Publicação Científica 0242,Capítulo,DCM,2021-10-10,2021,6,10763,266,Restrito
RIA00243,Publicação Científica 0243,Capítulo,DEP,2024-04-14,2024,6,1010,60,Embargado
RIA00244,Publicação Científica 0244,Dissertação,DLC,2024-12-14,2024,8,3803,335,Embargado
RIA00245,Publicação Científica 0245,Artigo,DCM,2024-09-09,2024,7,8825,93,Open Access
RIA00246,Publicação Científica 0246,Artigo,DLC,2025-03-02,2025,2,4197,206,Open Access
RIA00247,Publicação Científica 0247,Artigo,DEGEIT,2023-01-29,2023,8,11305,430,Embargado
RIA00248,Publicação Científica 0248,Dissertação,DBIO,2021-06-16,2021,2,6328,442,Embargado
RIA00249,Publicação Científica 0249,Artigo,DMAT,2023-02-08,2023,4,3792,435,Embargado
RIA00250,Publicação Científica 0250,Dissertação,DGEO,2020-09-17,2020,4,8723,202,Open Access
RIA00251,Publicação Científica 0251,Artigo,DF,2018-06-16,2018,3,9036,423,Open Access
RIA00252,Publicação Científica 0252,Tese,DCM,2021-09-07,2021,9,1176,418,Restrito
RIA00253,Publicação Científica 0253,Tese,DMAT,2020-11-13,2020,1,423,237,Restrito
RIA00254,Publicação Científica 0254,Artigo,DQ,2022-07-29,2022,9,4843,309,Open Access
RIA00255,Publicação Científica 0255,Artigo,DCM,2018-10-20,2018,9,6788,208,Open Access
RIA00256,Publicação Científica 0256,Tese,DETI,2019-09-24,2019,5,11907,315,Open Access
RIA00257,Publicação Científica 0257,Artigo,DEGEIT,2019-10-21,2019,1,9285,57,Embargado
RIA00258,Publicação Científica 0258,Artigo,DEP,2024-12-21,2024,7,6618,69,Restrito
RIA00259,Publicação Científica 0259,Artigo,DEP,2024-12-25,2024,6,1153,180,Open Access
RIA00260,Publicação Científica 0260,Tese,DETI,2026-01-28,2026,1,10974,315,Open Access
RIA00261,Publicação Científica 0261,Artigo,DCM,2019-02-24,2019,1,6114,412,Restrito
RIA00262,Publicação Científica 0262,Artigo,DETI,2018-10-30,2018,9,436,40,Open Access
RIA00263,Publicação Científica 0263,Artigo,DF,2018-04-11,2018,7,9712,201,Embargado
RIA00264,Publicação Científica 0264,Tese,DBIO,2025-05-04,2025,2,11337,143,Restrito
RIA00265,Publicação Científica 0265,Artigo,DCM,2018-05-12,2018,7,3360,155,Restrito
RIA00266,Publicação Científica 0266,Artigo,DGEO,2026-03-28,2026,5,9904,378,Open Access
RIA00267,Publicação Científica 0267,Artigo,DETI,2020-08-19,2020,7,1937,378,Embargado
RIA00268,Publicação Científica 0268,Artigo,DETI,2019-12-26,2019,2,4405,326,Restrito
RIA00269,Publicação Científica 0269,Artigo,DCM,2022-11-14,2022,2,3149,157,Restrito
RIA00270,Publicação Científica 0270,Artigo,DMAT,2022-01-02,2022,5,2868,322,Open Access
RIA00271,Publicação Científica 0271,Dissertação,DQ,2021-10-25,2021,3,6576,294,Restrito
RIA00272,Publicação Científica 0272,Artigo,DF,2020-04-19,2020,8,11028,361,Embargado
RIA00273,Publicação Científica 0273,Artigo,DBIO,2020-08-13,2020,1,3227,2,Restrito
RIA00274,Publicação Científica 0274,Tese,DBIO,2025-04-03,2025,2,3492,265,Embargado
RIA00275,Publicação Científica 0275,Artigo,DEGEIT,2022-08-23,2022,7,5389,10,Open Access
RIA00276,Publicação Científica 0276,Capítulo,DMAT,2023-05-16,2023,3,6631,245,Restrito
RIA00277,Publicação Científica 0277,Tese,DBIO,2024-11-01,2024,3,9715,78,Restrito
RIA00278,Publicação Científica 0278,Dissertação,DLC,2025-11-24,2025,9,11665,132,Embargado
RIA00279,Publicação Científica 0279,Capítulo,DGEO,2024-07-05,2024,9,5740,439,Restrito
RIA00280,Publicação Científica 0280,Dissertação,DGEO,2018-04-23,2018,4,6428,92,Embargado
RIA00281,Publicação Científica 0281,Capítulo,DGEO,2023-09-09,2023,1,778,49,Restrito
RIA00282,Publicação Científica 0282,Tese,DEP,2022-06-19,2022,2,5765,273,Restrito
RIA00283,Publicação Científica 0283,Artigo,DGEO,2023-07-27,2023,8,11741,322,Restrito
RIA00284,Publicação Científica 0284,Artigo,DEP,2019-04-29,2019,8,9716,295,Restrito
RIA00285,Publicação Científica 0285,Artigo,DBIO,2018-08-07,2018,8,3483,392,Open Access
RIA00286,Publicação Científica 0286,Artigo,DGEO,2021-06-24,2021,7,7261,80,Open Access
