despesa_id,data_despesa,departamento,rubrica,fornecedor,valor,estado,centro_custo
D000032,2024-09-09,DBIO,Serviços Externos,PrintWay,2172.5,Anulado,CC-DBIO-03
D000033,2024-09-29,DMAT,Serviços Externos,DataCloud,17181.9,Pendente,CC-DMAT-03
D000034,2024-11-24,DBIO,Viagens,DataCloud,1449.22,Pago,CC-DBIO-07
D000035,2024-04-27,DF,Serviços Externos,MedSupply,16748.12,Pago,CC-DF-04
D000036,2025-08-15,DBIO,Equipamento,GreenEnergy,62640.79,Pago,CC-DBIO-01
D000037,2025-12-10,DF,Equipamento,DataCloud,61287.24,Pago,CC-DF-08
D000038,2024-03-18,DMAT,Serviços Externos,Global Office,17876.33,Pago,CC-DMAT-07
D000039,2024-05-02,DCM,Serviços Externos,DataCloud,4776.7,Pendente,CC-DCM-11
D000040,2025-01-17,DGEO,Serviços Externos,LabInstruments,11742.93,Anulado,CC-DGEO-07
D000041,2025-12-07,DETI,Investigação,DataCloud,2118.41,Pago,CC-DETI-11
D000042,2024-02-16,DETI,Manutenção,Campus Services,3311.78,Pago,CC-DETI-06
D000043,2024-12-13,DMAT,Investigação,Campus Services,10265.86,Pago,CC-DMAT-01
D000044,2025-07-31,DEGEIT,Pessoal,PrintWay,11654.68,Pendente,CC-DEGEIT-06
D000045,2024-02-28,DLC,Infraestruturas,PrintWay,42342.76,Pago,CC-DLC-06
D000046,2025-06-06,DETI,Infraestruturas,IberTravel,12974.83,Pago,CC-DETI-12
D000047,2025-06-04,DEGEIT,Investigação,DataCloud,13399.02,Pago,CC-DEGEIT-08
D000048,2026-01-05,DQ,Equipamento,EduSoft,48824.92,Pago,CC-DQ-06
D000049,2026-03-13,DETI,Bolsas,Global Office,301.34,Anulado,CC-DETI-04
D000050,2024-01-05,DMAT,Viagens,TechVision,12783.83,Pago,CC-DMAT-12
D000051,2026-01-08,DF,Serviços Externos,DataCloud,8291.96,Pago,CC-DF-07
D000052,2026-03-07,DEP,Pessoal,Global Office,5822.28,Pago,CC-DEP-07
D000053,2025-11-09,DCM,Investigação,LabInstruments,13004.13,Pago,CC-DCM-06
D000054,2024-07-28,DEGEIT,Infraestruturas,LabInstruments,39080.74,Pago,CC-DEGEIT-06
D000055,2025-06-13,DF,Bolsas,LabInstruments,4282.62,Pendente,CC-DF-09
D000056,2024-11-11,DBIO,Pessoal,LabInstruments,6057.08,Pago,CC-DBIO-01
D000057,2024-02-16,DLC,Infraestruturas,EduSoft,14089.02,Pago,CC-DLC-09
D000058,2025-08-21,DCM,Serviços Externos,Global Office,15223.5,Pago,CC-DCM-10
D000059,2025-08-02,DGEO,Manutenção,Global Office,3655.4,Pago,CC-DGEO-05
D000060,2025-10-09,DCM,Investigação,GreenEnergy,4978.38,Pendente,CC-DCM-02
D000061,2024-05-29,DETI,Pessoal,PrintWay,14782.71,Pago,CC-DETI-10
D000062,2026-02-23,DQ,Bolsas,MedSupply,9738.5,Pago,CC-DQ-05
D000063,2024-12-15,DCM,Equipamento,MedSupply,12382.56,Pago,CC-DCM-01
D000064,2024-09-13,DQ,Bolsas,LabInstruments,7143.0,Pago,CC-DQ-11
D000065,2025-09-14,DMAT,Equipamento,EduSoft,15817.69,Pago,CC-DMAT-04
D000066,2024-04-16,DETI,Pessoal,DataCloud,11743.6,Pago,CC-DETI-11
D000067,2024-09-06,DBIO,Infraestruturas,Global Office,8140.88,Pago,CC-DBIO-11
D000068,2025-10-22,DEGEIT,Equipamento,TechVision,6655.28,Pendente,CC-DEGEIT-03
D000069,2026-02-23,DEGEIT,Serviços Externos,Global Office,2038.71,Pago,CC-DEGEIT-01
D000070,2024-03-21,DQ,Equipamento,EduSoft,49915.28,Pago,CC-DQ-10
D000071,2025-04-22,DGEO,Manutenção,Global Office,2982.46,Pago,CC-DGEO-05
D000072,2024-03-06,DGEO,Viagens,EduSoft,3628.13,Pago,CC-DGEO-02
D000073,2024-10-28,DBIO,Investigação,TechVision,2892.93,Pago,CC-DBIO-01
D000074,2024-04-13,DEGEIT,Manutenção,TechVision,14620.13,Pago,CC-DEGEIT-06
D000075,2026-02-18,DGEO,Manutenção,LabInstruments,8962.67,Pago,CC-DGEO-08
D000076,2026-03-07,DGEO,Serviços Externos,TechVision,7798.45,Pago,CC-DGEO-04
D000077,2025-07-16,DETI,Manutenção,TechVision,7308.46,Pago,CC-DETI-01
D000078,2025-01-14,DBIO,Pessoal,MedSupply,5875.03,Pago,CC-DBIO-05
D000079,2025-10-21,DMAT,Manutenção,MedSupply,13252.13,Pendente,CC-DMAT-04
D000080,2024-04-29,DETI,Infraestruturas,MedSupply,8142.22,Pendente,CC-DETI-11
D000081,2026-03-09,DQ,Equipamento,Campus Services,55759.21,Pago,CC-DQ-01
D000082,2025-12-19,DETI,Bolsas,PrintWay,2640.63,Pago,CC-DETI-11
D000083,2024-02-05,DMAT,Viagens,Global Office,11993.64,Pago,CC-DMAT-01
D000084,2024-08-15,DEGEIT,Manutenção,IberTravel,1555.08,Pago,CC-DEGEIT-12
D000085,2026-02-25,DMAT,Equipamento,DataCloud,11794.19,Pago,CC-DMAT-02
D000086,2024-07-08,DEP,Manutenção,MedSupply,11925.0,Pago,CC-DEP-12
D000087,2025-02-23,DGEO,Manutenção,EduSoft,5313.41,Pago,CC-DGEO-09
D000088,2025-08-28,DETI,Infraestruturas,DataCloud,60231.47,Pago,CC-DETI-03
D000089,2025-01-12,DBIO,Manutenção,TechVision,14299.71,Pago,CC-DBIO-10
D000090,2025-11-05,DBIO,Investigação,GreenEnergy,16641.89,Pago,CC-DBIO-05
D000091,2025-12-05,DCM,Manutenção,Campus Services,10299.14,Pendente,CC-DCM-11
D000092,2024-09-05,DGEO,Serviços Externos,Campus Services,388.16,Anulado,CC-DGEO-07
D000093,2025-09-27,DEP,Investigação,Global Office,9562.05,Pago,CC-DEP-08
D000094,2024-08-29,DLC,Serviços Externos,PrintWay,8636.17,Pago,CC-DLC-10
D000095,2025-09-10,DEP,Pessoal,EduSoft,527.63,Pago,CC-DEP-04
D000096,2024-09-25,DBIO,Pessoal,IberTravel,18011.0,Pago,CC-DBIO-02
D000097,2025-05-01,DQ,Bolsas,EduSoft,4139.23,Pago,CC-DQ-08
D000098,2025-06-22,DF,Serviços Externos,MedSupply,7441.78,Pago,CC-DF-03
D000099,2026-03-17,DMAT,Infraestruturas,MedSupply,54098.7,Pago,CC-DMAT-05
D000100,2024-08-08,DBIO,Manutenção,LabInstruments,7887.31,Pago,CC-DBIO-06
D000101,2025-02-23,DGEO,Investigação,MedSupply,17370.17,Pago,CC-DGEO-03
D000102,2025-11-02,DBIO,Equipamento,Global Office,17991.77,Pago,CC-DBIO-02
D000103,2024-07-04,DGEO,Infraestruturas,MedSupply,33735.36,Pago,CC-DGEO-04
D000104,2026-01-13,DQ,Investigação,Campus Services,16476.04,Pago,CC-DQ-11
D000105,2024-05-24,DEGEIT,Manutenção,Campus Services,8228.33,Pago,CC-DEGEIT-04
D000106,2026-03-07,DGEO,Pessoal,IberTravel,13409.34,Anulado,CC-DGEO-07
D000107,2025-07-05,DEP,Manutenção,MedSupply,6832.09,Pago,CC-DEP-09
D000108,2024-08-28,DBIO,Viagens,Global Office,14949.62,Pago,CC-DBIO-03
D000109,2025-01-11,DMAT,Bolsas,LabInstruments,7813.26,Pago,CC-DMAT-08
D000110,2025-05-30,DCM,Investigação,GreenEnergy,5243.09,Pago,CC-DCM-12
D000111,2025-08-23,DCM,Manutenção,MedSupply,6204.88,Pago,CC-DCM-05
D000112,2024-07-28,DQ,Serviços Externos,EduSoft,9955.98,Pago,CC-DQ-03
D000113,2025-12-31,DETI,Bolsas,Global Office,16411.68,Pago,CC-DETI-04
D000114,2025-02-01,DMAT,Serviços Externos,MedSupply,16166.7,Pago,CC-DMAT-07
D000115,2025-10-24,DQ,Investigação,DataCloud,16371.38,Pago,CC-DQ-05
D000116,2025-06-30,DEP,Equipamento,PrintWay,55918.73,Pago,CC-DEP-07
D000117,2024-10-10,DEGEIT,Bolsas,MedSupply,5381.28,Pendente,CC-DEGEIT-07
D000118,2025-04-15,DLC,Equipamento,MedSupply,7118.58,Pago,CC-DLC-07
D000119,2024-07-01,DCM,Investigação,TechVision,6416.3,Pago,CC-DCM-06
D000120,2024-12-01,DLC,Serviços Externos,DataCloud,5300.19,Pago,CC-DLC-11
D000121,2024-11-01,DCM,Equipamento,IberTravel,50788.13,Pendente,CC-DCM-04
D000122,2025-09-20,DQ,Viagens,EduSoft,4095.96,Pendente,CC-DQ-07
D000123,2024-09-19,DLC,Investigação,Campus Services,10670.23,Pago,CC-DLC-09
D000124,2024-09-21,DLC,Investigação,TechVision,13461.34,Pago,CC-DLC-04
D000125,2025-04-07,DCM,Viagens,IberTravel,15041.64,Pago,CC-DCM-07
D000126,2025-08-30,DBIO,Infraestruturas,DataCloud,41155.04,Pago,CC-DBIO-10
D000127,2025-06-09,DETI,Manutenção,DataCloud,2686.52,Pago,CC-DETI-03
D000128,2024-10-14,DMAT,Viagens,LabInstruments,1233.15,Pago,CC-DMAT-12
D000129,2025-02-03,DETI,Viagens,IberTravel,7182.16,Pago,CC-DETI-07
D000130,2024-04-17,DMAT,Infraestruturas,PrintWay,25716.47,Pago,CC-DMAT-04
D000131,2026-03-18,DEP,Manutenção,IberTravel,5836.92,Pago,CC-DEP-12
D000132,2024-12-21,DCM,Bolsas,MedSupply,8928.3,Pago,CC-DCM-12
D000133,2025-07-26,DMAT,Manutenção,Global Office,2172.24,Pago,CC-DMAT-10
D000134,2025-01-13,DMAT,Bolsas,TechVision,6138.64,Pago,CC-DMAT-04
D000135,2025-05-26,DF,Serviços Externos,LabInstruments,10604.83,Pendente,CC-DF-02
D000136,2024-08-31,DEP,Infraestruturas,Campus Services,12826.99,Pendente,CC-DEP-01
D000137,2024-09-22,DBIO,Viagens,IberTravel,14770.45,Pago,CC-DBIO-08
D000138,2025-04-16,DCM,Infraestruturas,EduSoft,52008.07,Pago,CC-DCM-07
D000139,2026-01-08,DMAT,Serviços Externos,MedSupply,1303.08,Pago,CC-DMAT-06
D000140,2024-09-05,DETI,Pessoal,Campus Services,5303.26,Pago,CC-DETI-08
D000141,2025-08-01,DEP,Pessoal,GreenEnergy,572.37,Pago,CC-DEP-10
D000142,2024-12-12,DETI,Infraestruturas,GreenEnergy,58098.81,Anulado,CC-DETI-04
D000143,2025-05-18,DQ,Manutenção,LabInstruments,10691.51,Pago,CC-DQ-09
D000144,2024-04-26,DGEO,Bolsas,PrintWay,2524.2,Pendente,CC-DGEO-06
D000145,2024-05-10,DCM,Bolsas,Global Office,16359.22,Pago,CC-DCM-10
D000146,2024-01-18,DEP,Pessoal,TechVision,392.84,Pago,CC-DEP-08
D000147,2025-07-03,DLC,Equipamento,IberTravel,42087.69,Pago,CC-DLC-07
D000148,2025-03-06,DF,Investigação,TechVision,4090.22,Pago,CC-DF-02
D000149,2025-08-30,DCM,Bolsas,TechVision,15158.01,Pago,CC-DCM-02
D000150,2024-08-20,DCM,Serviços Externos,PrintWay,16776.39,Pendente,CC-DCM-12
D000151,2024-03-04,DEGEIT,Viagens,Global Office,2381.89,Pago,CC-DEGEIT-08
D000152,2025-01-20,DMAT,Pessoal,Global Office,1958.86,Pago,CC-DMAT-01
D000153,2025-03-09,DLC,Viagens,LabInstruments,12742.26,Pago,CC-DLC-01
D000154,2025-11-06,DBIO,Infraestruturas,PrintWay,18476.54,Pendente,CC-DBIO-07
D000155,2024-06-27,DETI,Infraestruturas,DataCloud,36076.61,Anulado,CC-DETI-01
D000156,2024-10-27,DETI,Serviços Externos,Global Office,17846.63,Pago,CC-DETI-12
D000157,2024-08-24,DCM,Equipamento,GreenEnergy,39479.85,Anulado,CC-DCM-04
D000158,2024-10-10,DQ,Viagens,EduSoft,917.5,Pago,CC-DQ-01
D000159,2024-10-08,DGEO,Investigação,IberTravel,17990.36,Pago,CC-DGEO-05
D000160,2025-11-28,DCM,Infraestruturas,Global Office,17207.54,Pendente,CC-DCM-03
D000161,2025-06-14,DQ,Serviços Externos,DataCloud,4995.6,Pago,CC-DQ-05
D000162,2024-01-27,DMAT,Pessoal,DataCloud,11361.0,Pendente,CC-DMAT-10
D000163,2025-07-04,DBIO,Infraestruturas,PrintWay,21237.25,Pendente,CC-DBIO-12
D000164,2024-05-08,DEGEIT,Serviços Externos,PrintWay,15833.2,Pago,CC-DEGEIT-02
D000165,2024-04-25,DGEO,Viagens,GreenEnergy,1045.39,Anulado,CC-DGEO-09
D000166,2024-12-08,DETI,Pessoal,TechVision,12081.47,Pago,CC-DETI-06
D000167,2025-12-15,DF,Investigação,LabInstruments,8459.7,Pago,CC-DF-09
D000168,2025-09-12,DQ,Bolsas,LabInstruments,8864.03,Pago,CC-DQ-09
D000169,2024-04-14,DETI,Investigação,PrintWay,15151.84,Pago,CC-DETI-10
D000170,2025-05-17,DBIO,Manutenção,DataCloud,1994.93,Pago,CC-DBIO-12
D000171,2025-02-23,DEGEIT,Equipamento,PrintWay,36273.79,Pago,CC-DEGEIT-12
D000172,2025-03-28,DBIO,Bolsas,PrintWay,6951.86,Pago,CC-DBIO-04
D000173,2025-08-07,DBIO,Manutenção,DataCloud,12395.79,Pago,CC-DBIO-03
D000174,2026-02-07,DCM,Infraestruturas,Global Office,62603.6,Pago,CC-DCM-09
D000175,2024-04-17,DGEO,Pessoal,LabInstruments,723.84,Pago,CC-DGEO-11
D000176,2025-06-17,DEP,Pessoal,Global Office,8550.82,Pendente,CC-DEP-09
D000177,2024-11-10,DBIO,Bolsas,EduSoft,4773.54,Pago,CC-DBIO-05
D000178,2025-12-07,DEP,Investigação,IberTravel,8534.46,Pago,CC-DEP-07
D000179,2024-11-28,DLC,Viagens,DataCloud,9455.97,Pago,CC-DLC-02
D000180,2024-02-02,DCM,Investigação,Global Office,13474.53,Pago,CC-DCM-05
D000181,2025-02-10,DEGEIT,Investigação,DataCloud,6827.95,Pago,CC-DEGEIT-07
D000182,2026-02-21,DETI,Manutenção,Campus Services,1402.13,Pendente,CC-DETI-08
D000183,2024-08-20,DF,Infraestruturas,Campus Services,50143.78,Pendente,CC-DF-03
D000184,2025-01-26,DQ,Pessoal,PrintWay,799.08,Pago,CC-DQ-10
D000185,2025-12-31,DETI,Pessoal,EduSoft,4639.84,Pago,CC-DETI-03
D000186,2025-03-23,DMAT,Pessoal,TechVision,16347.67,Pago,CC-DMAT-04
D000187,2025-06-02,DEP,Bolsas,TechVision,16451.01,Pago,CC-DEP-11
D000188,2025-08-21,DF,Pessoal,TechVision,996.17,Pago,CC-DF-01
D000189,2025-11-14,DQ,Bolsas,Global Office,11346.17,Pago,CC-DQ-06
D000190,2025-02-09,DEGEIT,Infraestruturas,LabInstruments,49280.71,Pendente,CC-DEGEIT-06
D000191,2024-06-29,DQ,Serviços Externos,LabInstruments,6110.92,Pago,CC-DQ-07
D000192,2025-09-23,DLC,Serviços Externos,Global Office,6285.97,Pago,CC-DLC-06
D000193,2024-09-01,DMAT,Pessoal,PrintWay,10252.14,Pago,CC-DMAT-03
D000194,2025-02-03,DCM,Manutenção,LabInstruments,10633.24,Pago,CC-DCM-07
D000195,2026-01-24,DEP,Manutenção,TechVision,4997.64,Pago,CC-DEP-11
D000196,2024-03-18,DGEO,Equipamento,PrintWay,56533.47,Pago,CC-DGEO-05
D000197,2024-06-10,DMAT,Investigação,Campus Services,8355.57,Pago,CC-DMAT-05
D000198,2024-10-01,DEGEIT,Pessoal,PrintWay,6752.88,Pago,CC-DEGEIT-07
D000199,2024-09-19,DETI,Investigação,Global Office,17729.64,Pago,CC-DETI-09
D000200,2025-04-02,DETI,Serviços Externos,IberTravel,12364.95,Pago,CC-DETI-12
D000201,2024-09-15,DCM,Equipamento,MedSupply,21315.89,Pago,CC-DCM-09
D000202,2025-12-18,DCM,Bolsas,MedSupply,5709.87,Pago,CC-DCM-08
D000203,2025-11-30,DEP,Serviços Externos,Campus Services,15779.0,Pago,CC-DEP-07
D000204,2024-02-13,DGEO,Viagens,TechVision,6230.24,Pendente,CC-DGEO-01
D000205,2025-10-20,DCM,Investigação,GreenEnergy,4486.61,Pago,CC-DCM-12
D000206,2026-02-18,DCM,Viagens,GreenEnergy,6320.49,Pendente,CC-DCM-07
D000207,2024-02-18,DEGEIT,Viagens,EduSoft,14305.4,Pago,CC-DEGEIT-02
D000208,2025-03-08,DEP,Pessoal,EduSoft,15623.41,Pago,CC-DEP-01
D000209,2025-04-09,DQ,Investigação,LabInstruments,3687.87,Pendente,CC-DQ-02
D000210,2024-02-13,DGEO,Bolsas,LabInstruments,4023.76,Anulado,CC-DGEO-07
D000211,2025-02-03,DLC,Serviços Externos,PrintWay,13066.89,Pendente,CC-DLC-07
D000212,2024-05-21,DETI,Bolsas,TechVision,15694.01,Pago,CC-DETI-10
D000213,2024-11-15,DBIO,Manutenção,TechVision,15605.88,Pago,CC-DBIO-05
D000214,2024-04-30,DGEO,Manutenção,MedSupply,8931.44,Pago,CC-DGEO-12
D000215,2024-09-03,DEGEIT,Serviços Externos,PrintWay,7191.62,Pago,CC-DEGEIT-08
D000216,2024-04-17,DCM,Pessoal,GreenEnergy,4485.4,Pago,CC-DCM-05
D000217,2025-07-25,DCM,Pessoal,DataCloud,14458.02,Pago,CC-DCM-02
D000218,2026-04-01,DF,Serviços Externos,TechVision,1229.01,Pago,CC-DF-04
D000219,2024-11-29,DF,Viagens,PrintWay,1726.07,Pago,CC-DF-03
D000220,2025-04-30,DLC,Serviços Externos,Global Office,3597.15,Pago,CC-DLC-06
D000221,2024-05-02,DBIO,Bolsas,IberTravel,10223.01,Pago,CC-DBIO-05
D000222,2025-03-19,DCM,Infraestruturas,EduSoft,3282.39,Pago,CC-DCM-02
D000223,2024-12-16,DGEO,Bolsas,GreenEnergy,10968.72,Pago,CC-DGEO-05
D000224,2025-04-25,DF,Investigação,IberTravel,4677.76,Anulado,CC-DF-08
D000225,2024-07-27,DF,Investigação,EduSoft,11431.29,Pago,CC-DF-05
D000226,2025-06-28,DEP,Infraestruturas,IberTravel,53338.46,Pago,CC-DEP-07
D000227,2026-02-25,DMAT,Equipamento,TechVision,60629.37,Pago,CC-DMAT-02
D000228,2025-01-25,DGEO,Bolsas,EduSoft,1357.92,Pago,CC-DGEO-10
D000229,2024-11-04,DCM,Bolsas,TechVision,13425.71,Pago,CC-DCM-12
D000230,2025-01-10,DQ,Pessoal,EduSoft,10708.7,Pago,CC-DQ-08
D000231,2024-01-03,DGEO,Infraestruturas,TechVision,6543.75,Anulado,CC-DGEO-12
D000232,2024-07-30,DF,Serviços Externos,Campus Services,6144.61,Anulado,CC-DF-02
D000233,2025-10-22,DF,Equipamento,PrintWay,4680.85,Pago,CC-DF-02
D000234,2024-03-16,DF,Pessoal,MedSupply,2254.34,Pago,CC-DF-11
D000235,2024-01-27,DEP,Bolsas,PrintWay,9472.27,Pago,CC-DEP-12
D000236,2025-11-29,DMAT,Viagens,IberTravel,13605.94,Anulado,CC-DMAT-05
D000237,2025-04-16,DETI,Viagens,GreenEnergy,8350.04,Pendente,CC-DETI-10
D000238,2024-12-29,DBIO,Pessoal,MedSupply,14731.98,Pago,CC-DBIO-09
D000239,2024-01-27,DETI,Infraestruturas,LabInstruments,55629.59,Pendente,CC-DETI-02
D000240,2024-06-09,DLC,Bolsas,Global Office,15175.2,Pago,CC-DLC-10
D000241,2025-11-21,DQ,Pessoal,MedSupply,12478.59,Anulado,CC-DQ-09
D000242,2024-06-05,DETI,Infraestruturas,IberTravel,3010.67,Pago,CC-DETI-10
D000243,2025-03-14,DEP,Infraestruturas,EduSoft,40735.93,Pago,CC-DEP-10
D000244,2025-04-09,DGEO,Serviços Externos,Global Office,16503.12,Pago,CC-DGEO-11
D000245,2025-03-04,DEGEIT,Serviços Externos,IberTravel,14887.01,Pendente,CC-DEGEIT-01
D000246,2024-06-20,DF,Investigação,IberTravel,1709.21,Pago,CC-DF-04
D000247,2024-04-08,DQ,Equipamento,LabInstruments,59001.6,Pago,CC-DQ-07
D000248,2025-02-17,DETI,Viagens,EduSoft,10767.23,Pago,CC-DETI-05
D000249,2024-09-27,DBIO,Pessoal,IberTravel,1911.15,Pago,CC-DBIO-03
D000250,2025-08-23,DGEO,Pessoal,TechVision,10952.67,Pago,CC-DGEO-08
D000251,2024-03-14,DLC,Bolsas,MedSupply,12902.84,Pago,CC-DLC-10
D000252,2024-05-02,DLC,Bolsas,PrintWay,8526.71,Pago,CC-DLC-04
D000253,2026-01-27,DLC,Equipamento,LabInstruments,38921.28,Pago,CC-DLC-02
D000254,2024-02-24,DGEO,Pessoal,LabInstruments,16892.72,Pago,CC-DGEO-11
D000255,2026-02-19,DGEO,Infraestruturas,Campus Services,11681.41,Pago,CC-DGEO-10
D000256,2024-09-19,DQ,Investigação,Campus Services,14658.05,Pago,CC-DQ-05
D000257,2025-06-06,DMAT,Manutenção,EduSoft,5190.79,Pago,CC-DMAT-12
D000258,2025-10-14,DCM,Pessoal,MedSupply,4256.95,Pago,CC-DCM-02
D000259,2024-03-03,DETI,Pessoal,EduSoft,18031.52,Pendente,CC-DETI-03
D000260,2025-04-22,DEGEIT,Serviços Externos,IberTravel,2940.04,Pago,CC-DEGEIT-08
D000261,2025-05-15,DMAT,Serviços Externos,DataCloud,539.16,Pago,CC-DMAT-07
D000262,2024-12-08,DGEO,Serviços Externos,DataCloud,17021.37,Pago,CC-DGEO-06
D000263,2024-01-29,DMAT,Bolsas,IberTravel,5488.36,Pago,CC-DMAT-01
D000264,2024-10-31,DBIO,Serviços Externos,PrintWay,4184.72,Pago,CC-DBIO-08
D000265,2024-04-14,DETI,Pessoal,TechVision,8289.34,Pago,CC-DETI-12
D000266,2025-12-07,DGEO,Equipamento,Campus Services,25039.62,Pago,CC-DGEO-04
D000267,2025-06-09,DQ,Infraestruturas,Global Office,27209.88,Pago,CC-DQ-09
D000268,2024-09-14,DQ,Investigação,DataCloud,15058.14,Pago,CC-DQ-12
D000269,2024-10-20,DQ,Investigação,IberTravel,10055.92,Pago,CC-DQ-01
D000270,2024-04-24,DCM,Infraestruturas,IberTravel,60534.1,Pago,CC-DCM-05
D000271,2024-09-26,DF,Infraestruturas,Global Office,18916.08,Pago,CC-DF-12
D000272,2024-07-09,DBIO,Investigação,DataCloud,17173.76,Pago,CC-DBIO-12
D000273,2026-02-25,DF,Manutenção,LabInstruments,17231.68,Anulado,CC-DF-07
D000274,2024-10-14,DCM,Pessoal,PrintWay,8491.6,Pago,CC-DCM-11
D000275,2024-12-23,DEGEIT,Viagens,PrintWay,2033.89,Pago,CC-DEGEIT-11
D000276,2025-05-31,DETI,Bolsas,GreenEnergy,18349.98,Pago,CC-DETI-09
D000277,2026-02-07,DQ,Pessoal,GreenEnergy,14157.8,Pago,CC-DQ-03
D000278,2025-12-01,DETI,Investigação,GreenEnergy,16893.85,Pendente,CC-DETI-11
D000279,2024-11-29,DMAT,Investigação,TechVision,4558.41,Pendente,CC-DMAT-08
D000280,2024-10-27,DETI,Pessoal,EduSoft,7028.33,Pago,CC-DETI-02
D000281,2024-10-30,DEP,Serviços Externos,PrintWay,16918.16,Pendente,CC-DEP-01
D000282,2026-03-21,DGEO,Equipamento,LabInstruments,4697.42,Pendente,CC-DGEO-12
D000283,2024-02-22,DLC,Serviços Externos,IberTravel,11608.95,Pendente,CC-DLC-04
D000284,2024-04-29,DMAT,Equipamento,LabInstruments,36958.98,Pago,CC-DMAT-06
D000285,2025-03-23,DEP,Bolsas,MedSupply,3007.33,Pago,CC-DEP-03
D000286,2024-05-09,DQ,Viagens,GreenEnergy,4874.76,Pago,CC-DQ-09
D000287,2025-05-08,DGEO,Manutenção,MedSupply,15689.1,Pago,CC-DGEO-03
D000288,2025-10-10,DMAT,Viagens,LabInstruments,1386.08,Pago,CC-DMAT-06
D000289,2024-06-28,DLC,Manutenção,DataCloud,3292.75,Pago,CC-DLC-05
D000290,2025-12-19,DGEO,Pessoal,TechVision,11429.49,Pago,CC-DGEO-02
D000291,2024-11-04,DF,Bolsas,DataCloud,9499.97,Pago,CC-DF-09
D000292,2024-08-01,DGEO,Manutenção,GreenEnergy,11082.12,Pago,CC-DGEO-10
D000293,2026-02-02,DGEO,Serviços Externos,LabInstruments,1494.05,Pago,CC-DGEO-05
D000294,2025-08-21,DEGEIT,Bolsas,EduSoft,5131.94,Pago,CC-DEGEIT-02
D000295,2024-03-09,DMAT,Bolsas,Campus Services,13198.88,Pago,CC-DMAT-11
D000296,2025-03-02,DEGEIT,Pessoal,Global Office,2581.66,Pendente,CC-DEGEIT-11
D000297,2025-11-13,DMAT,Equipamento,GreenEnergy,8220.72,Pago,CC-DMAT-01
D000298,2024-05-02,DMAT,Viagens,IberTravel,7470.56,Pago,CC-DMAT-03
D000299,2024-01-17,DEGEIT,Viagens,Global Office,554.47,Pago,CC-DEGEIT-06
