inscricao_id,aluno_id,uc_id,semestre,ano_letivo,nota_final,resultado,epoca
I0000073,A00007,ESTA,1,2023/2024,16,Aprovado,Recurso
I0000074,A00007,BDAD,1,2022/2023,10,Aprovado,Normal
I0000075,A00007,BIOC,2,2021/2022,15,Aprovado,Normal
I0000076,A00008,PROG,2,2025/2026,10,Aprovado,Normal
I0000077,A00008,PSIC,1,2025/2026,17,Aprovado,Normal
I0000078,A00008,DSCI,2,2025/2026,10,Aprovado,Normal
I0000079,A00008,MACR,1,2025/2026,17,Aprovado,Recurso
I0000080,A00008,MICR,2,2025/2026,16,Aprovado,Recurso
I0000081,A00008,FINA,2,2025/2026,6,Reprovado,Normal
I0000082,A00008,QUIM,2,2025/2026,11,Aprovado,Normal
I0000083,A00008,FIS1,1,2025/2026,17,Aprovado,Especial
I0000084,A00008,ALGA,1,2025/2026,18,Aprovado,Normal
I0000085,A00008,ANAC,2,2025/2026,18,Aprovado,Normal
I0000086,A00008,PROJ,1,2025/2026,16,Aprovado,Normal
I0000087,A00008,BIAR,1,2025/2026,7,Reprovado,Normal
I0000088,A00008,TRAD,1,2025/2026,16,Aprovado,Normal
I0000089,A00009,ALGA,2,2024/2025,17,Aprovado,Recurso
I0000090,A00009,DWHS,1,2025/2026,18,Aprovado,Normal
I0000091,A00009,PSIC,2,2025/2026,15,Aprovado,Normal
I0000092,A00009,TRAD,2,2024/2025,13,Aprovado,Normal
I0000093,A00009,ESTA,2,2024/2025,12,Aprovado,Normal
I0000094,A00009,BDAD,2,2025/2026,15,Aprovado,Recurso
I0000095,A00009,GENE,1,2025/2026,4,Reprovado,Normal
I0000096,A00009,SOFT,1,2024/2025,0,Reprovado,Normal
I0000097,A00009,REDES,1,2025/2026,16,Aprovado,Normal
I0000098,A00010,PSIC,1,2024/2025,,Não avaliado,Normal
I0000099,A00010,SINA,1,2022/2023,19,Aprovado,Recurso
I0000100,A00010,REDES,2,2022/2023,12,Aprovado,Normal
I0000101,A00010,DWHS,1,2023/2024,13,Aprovado,Normal
I0000102,A00010,ANAC,1,2024/2025,14,Aprovado,Normal
I0000103,A00010,MLAB,2,2022/2023,12,Aprovado,Normal
I0000104,A00010,PROG,1,2025/2026,,Não avaliado,Normal
I0000105,A00010,SEMI,2,2022/2023,20,Aprovado,Normal
I0000106,A00010,PROJ,1,2021/2022,19,Aprovado,Normal
I0000107,A00010,QUIM,2,2024/2025,16,Aprovado,Normal
I0000108,A00010,ALGA,2,2021/2022,17,Aprovado,Normal
I0000109,A00011,BIOC,1,2025/2026,18,Aprovado,Normal
I0000110,A00011,REDES,1,2023/2024,16,Aprovado,Especial
I0000111,A00011,MACR,1,2022/2023,15,Aprovado,Recurso
I0000112,A00011,MICR,1,2024/2025,20,Aprovado,Recurso
I0000113,A00011,GENE,1,2024/2025,,Não avaliado,Normal
I0000114,A00011,SEMI,2,2020/2021,17,Aprovado,Recurso
I0000115,A00011,DSCI,2,2020/2021,19,Aprovado,Especial
I0000116,A00011,PROJ,2,2023/2024,10,Aprovado,Normal
I0000117,A00011,CALC,1,2024/2025,11,Aprovado,Normal
I0000118,A00011,DWHS,1,2023/2024,19,Aprovado,Especial
I0000119,A00011,ANAC,1,2024/2025,14,Aprovado,Recurso
I0000120,A00011,SOFT,2,2024/2025,0,Reprovado,Normal
I0000121,A00012,BIOC,2,2025/2026,16,Aprovado,Normal
I0000122,A00012,SEMI,1,2025/2026,6,Reprovado,Recurso
I0000123,A00012,CALC,2,2024/2025,12,Aprovado,Normal
I0000124,A00012,QUIM,1,2024/2025,3,Reprovado,Normal
I0000125,A00012,FINA,1,2025/2026,12,Aprovado,Especial
I0000126,A00012,DWHS,1,2025/2026,14,Aprovado,Normal
I0000127,A00012,REDES,2,2024/2025,6,Reprovado,Normal
I0000128,A00013,FINA,2,2025/2026,2,Reprovado,Normal
I0000129,A00013,BIOC,1,2025/2026,10,Aprovado,Normal
I0000130,A00013,CALC,1,2025/2026,13,Aprovado,Normal
I0000131,A00013,DWHS,2,2025/2026,10,Aprovado,Normal
I0000132,A00013,TRAD,2,2025/2026,14,Aprovado,Normal
I0000133,A00013,ALGA,1,2025/2026,4,Reprovado,Normal
I0000134,A00013,PROG,1,2025/2026,6,Reprovado,Normal
I0000135,A00013,REDES,2,2025/2026,4,Reprovado,Normal
I0000136,A00014,DWHS,2,2022/2023,13,Aprovado,Especial
I0000137,A00014,ESTA,2,2021/2022,16,Aprovado,Recurso
I0000138,A00014,MACR,2,2024/2025,11,Aprovado,Normal
I0000139,A00014,SEMI,2,2024/2025,17,Aprovado,Especial
I0000140,A00014,BIOC,1,2025/2026,10,Aprovado,Especial
I0000141,A00014,GENE,2,2021/2022,16,Aprovado,Normal
I0000142,A00014,SOFT,1,2021/2022,16,Aprovado,Normal
I0000143,A00014,BDAD,2,2023/2024,15,Aprovado,Normal
I0000144,A00014,MKTG,1,2024/2025,19,Aprovado,Recurso
I0000145,A00014,QUIM,1,2025/2026,18,Aprovado,Recurso
I0000146,A00014,ING1,2,2023/2024,7,Reprovado,Normal
I0000147,A00014,TRAD,2,2022/2023,11,Aprovado,Normal
I0000148,A00014,MICR,1,2024/2025,14,Aprovado,Recurso
I0000149,A00014,BIAR,1,2021/2022,19,Aprovado,Normal
I0000150,A00014,CALC,1,2021/2022,12,Aprovado,Normal
I0000151,A00015,CONT,2,2025/2026,19,Aprovado,Recurso
I0000152,A00015,SEMI,2,2025/2026,20,Aprovado,Normal
I0000153,A00015,ANAC,2,2025/2026,19,Aprovado,Normal
I0000154,A00015,FIS2,1,2025/2026,18,Aprovado,Recurso
I0000155,A00015,CALC,2,2025/2026,20,Aprovado,Recurso
I0000156,A00015,ESTA,1,2025/2026,19,Aprovado,Normal
I0000157,A00016,CONT,1,2024/2025,3,Reprovado,Normal
I0000158,A00016,REDES,2,2025/2026,1,Reprovado,Normal
I0000159,A00016,DSCI,2,2025/2026,9,Reprovado,Especial
I0000160,A00016,BIAR,2,2024/2025,2,Reprovado,Recurso
I0000161,A00016,CALC,2,2024/2025,,Não avaliado,Normal
I0000162,A00016,ESTA,2,2024/2025,,Não avaliado,Normal
I0000163,A00016,SOFT,2,2025/2026,12,Aprovado,Recurso
I0000164,A00016,SEMI,1,2025/2026,4,Reprovado,Normal
I0000165,A00016,ALGA,1,2024/2025,1,Reprovado,Normal
I0000166,A00016,FINA,2,2025/2026,11,Aprovado,Normal
I0000167,A00016,FIS1,2,2025/2026,,Não avaliado,Normal
I0000168,A00016,PROJ,2,2024/2025,15,Aprovado,Normal
I0000169,A00016,ANAC,1,2025/2026,,Não avaliado,Recurso
I0000170,A00017,SOFT,1,2024/2025,13,Aprovado,Normal
I0000171,A00017,ESTA,1,2024/2025,12,Aprovado,Recurso
I0000172,A00017,FINA,2,2025/2026,4,Reprovado,Normal
I0000173,A00017,DWHS,2,2024/2025,10,Aprovado,Normal
I0000174,A00017,FIS1,1,2025/2026,5,Reprovado,Especial
I0000175,A00017,DSCI,2,2024/2025,11,Aprovado,Recurso
I0000176,A00018,FIS2,2,2020/2021,13,Aprovado,Especial
I0000177,A00018,ANAC,1,2020/2021,15,Aprovado,Normal
I0000178,A00018,ESTA,2,2022/2023,11,Aprovado,Recurso
I0000179,A00018,GENE,2,2020/2021,,Não avaliado,Normal
I0000180,A00018,MLAB,2,2022/2023,13,Aprovado,Normal
I0000181,A00018,MKTG,2,2020/2021,17,Aprovado,Recurso
I0000182,A00018,PROG,1,2020/2021,19,Aprovado,Normal
I0000183,A00018,TRAD,2,2020/2021,14,Aprovado,Normal
I0000184,A00018,MICR,1,2022/2023,,Não avaliado,Normal
I0000185,A00018,REDES,1,2025/2026,18,Aprovado,Normal
I0000186,A00018,DWHS,2,2021/2022,12,Aprovado,Recurso
I0000187,A00018,QUIM,1,2025/2026,15,Aprovado,Recurso
I0000188,A00018,BIAR,2,2024/2025,4,Reprovado,Normal
I0000189,A00019,CALC,1,2024/2025,,Não avaliado,Normal
I0000190,A00019,ING1,1,2025/2026,,Não avaliado,Recurso
I0000191,A00019,GENE,2,2024/2025,10,Aprovado,Especial
I0000192,A00019,PROJ,2,2025/2026,10,Aprovado,Normal
I0000193,A00019,ALGA,2,2022/2023,18,Aprovado,Normal
I0000194,A00019,SOFT,1,2025/2026,10,Aprovado,Especial
I0000195,A00019,PSIC,1,2022/2023,20,Aprovado,Recurso
I0000196,A00019,FINA,1,2024/2025,13,Aprovado,Normal
I0000197,A00019,REDES,2,2023/2024,11,Aprovado,Normal
I0000198,A00019,FIS1,2,2024/2025,15,Aprovado,Normal
I0000199,A00020,CALC,1,2024/2025,13,Aprovado,Normal
I0000200,A00020,BDAD,1,2025/2026,14,Aprovado,Normal
I0000201,A00020,ESTG,2,2025/2026,10,Aprovado,Recurso
I0000202,A00020,FIS1,1,2024/2025,11,Aprovado,Normal
I0000203,A00020,FIS2,2,2024/2025,19,Aprovado,Normal
I0000204,A00020,PSIC,2,2025/2026,,Não avaliado,Normal
I0000205,A00020,ANAC,1,2025/2026,19,Aprovado,Normal
I0000206,A00020,CONT,2,2024/2025,10,Aprovado,Normal
I0000207,A00020,ING1,1,2025/2026,14,Aprovado,Normal
I0000208,A00021,SEMI,2,2020/2021,16,Aprovado,Recurso
I0000209,A00021,ING1,1,2022/2023,18,Aprovado,Recurso
I0000210,A00021,ALGA,2,2020/2021,10,Aprovado,Normal
I0000211,A00021,SINA,1,2024/2025,13,Aprovado,Normal
I0000212,A00021,PSIC,1,2024/2025,,Não avaliado,Normal
I0000213,A00021,BIOC,1,2025/2026,12,Aprovado,Normal
I0000214,A00021,BIAR,2,2020/2021,13,Aprovado,Recurso
I0000215,A00021,ANAC,2,2023/2024,19,Aprovado,Normal
I0000216,A00021,FINA,1,2020/2021,,Não avaliado,Normal
I0000217,A00021,ESTA,2,2024/2025,17,Aprovado,Normal
I0000218,A00021,DSCI,2,2023/2024,14,Aprovado,Recurso
I0000219,A00021,MICR,1,2025/2026,14,Aprovado,Recurso
I0000220,A00022,ESTA,2,2023/2024,14,Aprovado,Recurso
I0000221,A00022,CONT,2,2023/2024,16,Aprovado,Normal
I0000222,A00022,FINA,2,2022/2023,17,Aprovado,Normal
I0000223,A00022,MICR,2,2021/2022,6,Reprovado,Normal
I0000224,A00022,BIOC,1,2024/2025,2,Reprovado,Normal
I0000225,A00022,PROG,1,2024/2025,14,Aprovado,Normal
I0000226,A00022,BDAD,2,2022/2023,,Não avaliado,Normal
I0000227,A00022,GENE,1,2022/2023,11,Aprovado,Normal
I0000228,A00022,ALGA,1,2023/2024,13,Aprovado,Normal
I0000229,A00022,FIS2,2,2021/2022,20,Aprovado,Especial
I0000230,A00022,SEMI,2,2024/2025,5,Reprovado,Normal
I0000231,A00022,DSCI,2,2023/2024,15,Aprovado,Normal
I0000232,A00022,FIS1,2,2023/2024,13,Aprovado,Normal
I0000233,A00022,PSIC,2,2023/2024,10,Aprovado,Normal
I0000234,A00023,SINA,2,2025/2026,14,Aprovado,Recurso
I0000235,A00023,BDAD,1,2023/2024,16,Aprovado,Recurso
I0000236,A00023,CALC,1,2024/2025,15,Aprovado,Normal
I0000237,A00023,BIAR,2,2023/2024,18,Aprovado,Normal
I0000238,A00023,FINA,1,2024/2025,17,Aprovado,Normal
I0000239,A00023,ESTA,1,2021/2022,,Não avaliado,Normal
I0000240,A00023,ING1,1,2023/2024,13,Aprovado,Recurso
I0000241,A00023,QUIM,1,2025/2026,12,Aprovado,Normal
I0000242,A00023,ANAC,2,2022/2023,13,Aprovado,Normal
I0000243,A00023,DWHS,2,2021/2022,20,Aprovado,Normal
I0000244,A00023,DSCI,2,2024/2025,10,Aprovado,Normal
I0000245,A00023,ESTG,1,2024/2025,12,Aprovado,Recurso
I0000246,A00023,PROG,2,2023/2024,19,Aprovado,Normal
I0000247,A00023,BIOC,1,2022/2023,13,Aprovado,Normal
I0000248,A00024,DSCI,2,2025/2026,0,Reprovado,Normal
I0000249,A00024,GENE,1,2025/2026,2,Reprovado,Normal
I0000250,A00024,PROJ,1,2025/2026,14,Aprovado,Normal
I0000251,A00024,FINA,1,2025/2026,,Não avaliado,Normal
I0000252,A00024,FIS2,2,2025/2026,1,Reprovado,Normal
I0000253,A00024,SOFT,2,2025/2026,16,Aprovado,Normal
I0000254,A00024,ANAC,2,2025/2026,19,Aprovado,Normal
I0000255,A00024,MLAB,1,2025/2026,10,Aprovado,Normal
I0000256,A00024,MICR,2,2025/2026,,Não avaliado,Normal
I0000257,A00024,REDES,1,2025/2026,6,Reprovado,Especial
I0000258,A00024,ALGA,1,2025/2026,17,Aprovado,Normal
I0000259,A00025,EDUC,2,2025/2026,17,Aprovado,Normal
I0000260,A00025,ESTG,1,2025/2026,10,Aprovado,Normal
I0000261,A00025,DSCI,1,2025/2026,14,Aprovado,Normal
I0000262,A00025,BIOC,1,2025/2026,0,Reprovado,Normal
I0000263,A00025,ESTA,1,2025/2026,17,Aprovado,Normal
I0000264,A00025,ANAC,2,2025/2026,5,Reprovado,Normal
I0000265,A00025,PSIC,2,2025/2026,15,Aprovado,Normal
I0000266,A00025,PROJ,2,2024/2025,0,Reprovado,Recurso
I0000267,A00026,SINA,2,2024/2025,19,Aprovado,Normal
I0000268,A00026,BIAR,1,2024/2025,13,Aprovado,Especial
I0000269,A00026,BIOC,2,2025/2026,8,Reprovado,Normal
I0000270,A00026,CALC,1,2024/2025,18,Aprovado,Normal
I0000271,A00026,MKTG,2,2024/2025,0,Reprovado,Recurso
I0000272,A00026,FIS2,1,2024/2025,16,Aprovado,Recurso
I0000273,A00026,PSIC,2,2023/2024,12,Aprovado,Recurso
I0000274,A00026,MACR,2,2024/2025,,Não avaliado,Normal
I0000275,A00026,EDUC,1,2020/2021,9,Reprovado,Normal
I0000276,A00026,PROG,1,2024/2025,11,Aprovado,Normal
I0000277,A00026,CONT,2,2022/2023,10,Aprovado,Normal
I0000278,A00027,EDUC,2,2025/2026,20,Aprovado,Normal
I0000279,A00027,DSCI,2,2025/2026,7,Reprovado,Normal
I0000280,A00027,ESTA,1,2025/2026,18,Aprovado,Normal
I0000281,A00027,REDES,1,2025/2026,18,Aprovado,Especial
I0000282,A00027,SOFT,1,2025/2026,10,Aprovado,Normal
I0000283,A00027,SINA,1,2025/2026,4,Reprovado,Normal
I0000284,A00027,QUIM,2,2025/2026,19,Aprovado,Normal
I0000285,A00027,BIOC,2,2025/2026,20,Aprovado,Normal
I0000286,A00027,CONT,2,2025/2026,19,Aprovado,Recurso
I0000287,A00028,MICR,2,2023/2024,16,Aprovado,Normal
I0000288,A00028,ALGA,2,2022/2023,15,Aprovado,Recurso
I0000289,A00028,PROJ,2,2025/2026,20,Aprovado,Especial
I0000290,A00028,FIS1,2,2025/2026,15,Aprovado,Recurso
I0000291,A00028,ING1,1,2024/2025,,Não avaliado,Normal
I0000292,A00028,SOFT,2,2025/2026,10,Aprovado,Normal
I0000293,A00028,SINA,2,2025/2026,16,Aprovado,Recurso
I0000294,A00028,PSIC,2,2023/2024,5,Reprovado,Normal
I0000295,A00028,BDAD,2,2025/2026,11,Aprovado,Normal
I0000296,A00028,ANAC,2,2024/2025,18,Aprovado,Normal
I0000297,A00028,GENE,2,2025/2026,13,Aprovado,Normal
I0000298,A00028,FIS2,2,2025/2026,13,Aprovado,Recurso
I0000299,A00029,DSCI,1,2024/2025,,Não avaliado,Normal
I0000300,A00029,PROG,1,2024/2025,15,Aprovado,Recurso
I0000301,A00029,ING1,1,2025/2026,19,Aprovado,Recurso
I0000302,A00029,ALGA,1,2024/2025,20,Aprovado,Normal
I0000303,A00029,MICR,2,2025/2026,19,Aprovado,Normal
I0000304,A00029,EDUC,2,2024/2025,14,Aprovado,Normal
I0000305,A00029,SINA,2,2023/2024,15,Aprovado,Normal
I0000306,A00029,ANAC,1,2024/2025,10,Aprovado,Normal
I0000307,A00029,FIS1,2,2024/2025,7,Reprovado,Normal
I0000308,A00029,CONT,1,2025/2026,17,Aprovado,Normal
I0000309,A00030,MACR,1,2024/2025,,Não avaliado,Normal
I0000310,A00030,CALC,2,2024/2025,19,Aprovado,Recurso
I0000311,A00030,ALGA,2,2024/2025,14,Aprovado,Normal
I0000312,A00030,FINA,1,2024/2025,17,Aprovado,Normal
I0000313,A00030,QUIM,2,2025/2026,17,Aprovado,Normal
I0000314,A00030,FIS2,1,2025/2026,11,Aprovado,Normal
I0000315,A00030,GENE,2,2025/2026,,Não avaliado,Normal
I0000316,A00030,ANAC,1,2024/2025,18,Aprovado,Recurso
I0000317,A00030,SOFT,2,2024/2025,8,Reprovado,Recurso
I0000318,A00030,EDUC,1,2025/2026,12,Aprovado,Normal
I0000319,A00030,PROJ,1,2024/2025,,Não avaliado,Normal
I0000320,A00030,REDES,2,2025/2026,4,Reprovado,Normal
I0000321,A00030,SEMI,2,2025/2026,18,Aprovado,Normal
I0000322,A00030,DSCI,1,2025/2026,6,Reprovado,Normal
I0000323,A00030,ESTG,1,2024/2025,18,Aprovado,Especial
I0000324,A00030,DWHS,2,2024/2025,12,Aprovado,Normal
I0000325,A00031,DWHS,1,2024/2025,2,Reprovado,Normal
I0000326,A00031,MKTG,1,2023/2024,17,Aprovado,Normal
I0000327,A00031,SEMI,1,2024/2025,,Não avaliado,Recurso
I0000328,A00031,FINA,2,2021/2022,19,Aprovado,Normal
I0000329,A00031,QUIM,2,2025/2026,14,Aprovado,Recurso
I0000330,A00031,CONT,2,2025/2026,18,Aprovado,Normal
I0000331,A00031,EDUC,2,2023/2024,14,Aprovado,Normal
I0000332,A00031,FIS1,2,2023/2024,15,Aprovado,Normal
I0000333,A00031,GENE,1,2024/2025,,Não avaliado,Recurso
I0000334,A00032,CALC,2,2024/2025,,Não avaliado,Normal
I0000335,A00032,ANAC,2,2024/2025,,Não avaliado,Normal
I0000336,A00032,DWHS,2,2025/2026,8,Reprovado,Normal
I0000337,A00032,ING1,2,2024/2025,8,Reprovado,Normal
I0000338,A00032,DSCI,1,2023/2024,,Não avaliado,Normal
I0000339,A00032,SINA,1,2023/2024,,Não avaliado,Normal
I0000340,A00032,PROJ,1,2023/2024,20,Aprovado,Normal
I0000341,A00032,BIOC,2,2025/2026,,Não avaliado,Normal
I0000342,A00032,PROG,1,2025/2026,9,Reprovado,Normal
I0000343,A00032,MKTG,2,2025/2026,11,Aprovado,Normal
I0000344,A00032,QUIM,1,2023/2024,,Não avaliado,Normal
I0000345,A00032,SEMI,2,2024/2025,,Não avaliado,Recurso
I0000346,A00033,ANAC,2,2023/2024,13,Aprovado,Normal
I0000347,A00033,ING1,2,2025/2026,17,Aprovado,Especial
I0000348,A00033,QUIM,2,2023/2024,17,Aprovado,Normal
I0000349,A00033,SOFT,1,2025/2026,,Não avaliado,Normal
I0000350,A00033,MICR,2,2024/2025,17,Aprovado,Normal
I0000351,A00033,TRAD,1,2022/2023,3,Reprovado,Normal
I0000352,A00033,DWHS,2,2024/2025,20,Aprovado,Recurso
I0000353,A00033,PROJ,2,2024/2025,10,Aprovado,Normal
I0000354,A00034,TRAD,1,2024/2025,,Não avaliado,Normal
I0000355,A00034,FIS1,2,2025/2026,,Não avaliado,Normal
I0000356,A00034,ESTG,1,2024/2025,5,Reprovado,Recurso
I0000357,A00034,CALC,2,2024/2025,17,Aprovado,Normal
I0000358,A00034,DSCI,1,2025/2026,19,Aprovado,Normal
I0000359,A00034,MICR,2,2025/2026,12,Aprovado,Normal
I0000360,A00034,BIOC,2,2025/2026,18,Aprovado,Normal
I0000361,A00034,MACR,2,2025/2026,14,Aprovado,Normal
I0000362,A00034,ESTA,2,2024/2025,16,Aprovado,Especial
I0000363,A00034,DWHS,1,2024/2025,12,Aprovado,Normal
I0000364,A00034,ANAC,1,2025/2026,18,Aprovado,Normal
I0000365,A00034,CONT,2,2024/2025,17,Aprovado,Normal
I0000366,A00034,MKTG,1,2024/2025,13,Aprovado,Normal
I0000367,A00034,BIAR,1,2025/2026,12,Aprovado,Normal
I0000368,A00035,MKTG,2,2024/2025,5,Reprovado,Normal
I0000369,A00035,ESTA,2,2025/2026,19,Aprovado,Normal
I0000370,A00035,CALC,1,2025/2026,,Não avaliado,Recurso
I0000371,A00035,CONT,2,2025/2026,7,Reprovado,Normal
I0000372,A00035,FIS2,1,2025/2026,5,Reprovado,Recurso
I0000373,A00035,REDES,2,2025/2026,20,Aprovado,Normal
I0000374,A00035,MICR,2,2024/2025,10,Aprovado,Normal
I0000375,A00035,DSCI,1,2024/2025,20,Aprovado,Normal
I0000376,A00035,MLAB,2,2024/2025,,Não avaliado,Normal
I0000377,A00035,DWHS,2,2025/2026,16,Aprovado,Normal
I0000378,A00036,MACR,1,2025/2026,14,Aprovado,Normal
I0000379,A00036,DWHS,1,2022/2023,0,Reprovado,Recurso
I0000380,A00036,GENE,2,2024/2025,,Não avaliado,Recurso
I0000381,A00036,SINA,2,2025/2026,2,Reprovado,Normal
I0000382,A00036,ESTA,2,2022/2023,17,Aprovado,Normal
I0000383,A00036,TRAD,2,2024/2025,11,Aprovado,Normal
I0000384,A00036,ING1,2,2023/2024,,Não avaliado,Normal
I0000385,A00036,CONT,1,2021/2022,2,Reprovado,Normal
I0000386,A00036,ALGA,2,2022/2023,18,Aprovado,Normal
I0000387,A00036,SOFT,2,2022/2023,,Não avaliado,Normal
I0000388,A00037,MKTG,1,2025/2026,10,Aprovado,Normal
I0000389,A00037,FIS1,1,2023/2024,5,Reprovado,Normal
I0000390,A00037,DSCI,2,2024/2025,,Não avaliado,Normal
I0000391,A00037,ALGA,1,2024/2025,,Não avaliado,Normal
I0000392,A00037,BDAD,1,2022/2023,13,Aprovado,Normal
I0000393,A00037,TRAD,2,2023/2024,19,Aprovado,Normal
I0000394,A00037,ING1,2,2024/2025,,Não avaliado,Normal
I0000395,A00037,ESTG,1,2024/2025,17,Aprovado,Normal
I0000396,A00037,PROG,2,2025/2026,4,Reprovado,Normal
I0000397,A00037,FINA,1,2022/2023,,Não avaliado,Especial
I0000398,A00037,SOFT,1,2024/2025,,Não avaliado,Recurso
I0000399,A00037,CONT,2,2024/2025,13,Aprovado,Recurso
I0000400,A00037,MACR,2,2024/2025,,Não avaliado,Normal
I0000401,A00038,SOFT,2,2021/2022,4,Reprovado,Normal
I0000402,A00038,REDES,2,2021/2022,14,Aprovado,Normal
I0000403,A00038,GENE,1,2022/2023,11,Aprovado,Normal
I0000404,A00038,PROJ,2,2025/2026,17,Aprovado,Normal
I0000405,A00038,MICR,1,2023/2024,10,Aprovado,Normal
I0000406,A00038,QUIM,2,2025/2026,17,Aprovado,Normal
I0000407,A00038,ALGA,2,2024/2025,13,Aprovado,Normal
I0000408,A00038,CONT,2,2025/2026,10,Aprovado,Normal
I0000409,A00038,TRAD,2,2025/2026,,Não avaliado,Normal
I0000410,A00038,BIAR,1,2022/2023,11,Aprovado,Normal
